Title,Rating,Genre,Actors,Runtime
The Marvelous Misadventures of Flapjack,8.0,"Animation, Adventure, Comedy","Thurop Van Orman, Brian Doyle-Murray, Jeff Bennett, Roz Ryan",unknown
"No Game, No Life",8.0,"Animation, Adventure, Comedy","Yoshitsugu Matsuoka, Ai Kayano, Yôko Hikasa, Scott Gibbs",unknown
The Nostalgia Critic,8.2,Comedy,"Doug Walker, Malcolm Ray, Rob Walker, Tamara Chambers",unknown
Ask-i Memnu,7.2,"Drama, Romance","Beren Saat, Kivanç Tatlitug, Nebahat Çehre, Nur Fettahoglu",unknown
Death Parade,8.0,"Animation, Drama, Horror","Jamie Marchi, Tomoaki Maeno, Alex Organ, Asami Seto",unknown
The X Factor,5.2,"Music, Reality-TV","Simon Cowell, Demi Lovato, L.A. Reid, Mario Lopez",unknown
The Angry Video Game Nerd,8.5,Comedy,"James Rolfe, Kyle Justin, Mike Matei, Kevin Finn",unknown
Anazâ,7.8,"Animation, Drama, Horror","Atsushi Abe, Natsumi Takamori, Tomoaki Maeno, Greg Ayres",unknown
Clone High,8.3,"Animation, Comedy, Sci-Fi","Will Forte, Phil Lord, Michael McDonald, Christa Miller",unknown
Mr. Sunshine,6.8,Comedy,"Matthew Perry, Andrea Anders, James Lesure, Nate Torrence",unknown
That Mitchell and Webb Look,8.0,Comedy,"David Mitchell, Robert Webb, James Bachman, Mark Evans",unknown
How Not to Live Your Life,8.4,Comedy,"Dan Clark, David Armand, Leila Hoffman, Laura Haddock",unknown
Clannad: After Story,8.6,"Animation, Comedy, Drama","Yûichi Nakamura, David Matranga, Luci Christian, Mai Nakahara",unknown
The Life & Times of Tim,8.1,"Animation, Comedy","Steve Dildarian, M.J. Otto, Nick Kroll, Matt Johnson",unknown
The Being Frank Show,7.3,Talk-Show,"Frank D'Angelo, Glen Foster, Spider Jones, Jim Tatti",unknown
Heroes,7.5,Drama,"Jean Burgmeier, Keith Michael Gregory, Lynn Schlueter, Isaiah Stanley",unknown
Three's a Pain,8.3,Comedy,"LaQuita James, Donnie Clark, David Ditmore, Alice Raver",unknown
