"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,402,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,37,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,5,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,67,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,101,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,17,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,91,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,5,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,6,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,6,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,125,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,4,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,10,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,115,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,126,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,8,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,13,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,160,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,12,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,12,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,9,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","LVA","Latvia","NBR","Number","0","Units",,,62,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","LVA","Latvia","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","LVA","Latvia","NBR","Number","0","Units",,,0,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","LVA","Latvia","NBR","Number","0","Units",,,2,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,564,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,50,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,11,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,90,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,53,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,6,,
